,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2022 Toyota Yaris Hybrid Mid,
Vehicle,vehYear,,
,vehPtType,HEV,
,dragCoef,0.31,https://www.toyota-europe.com/new-cars/yaris/grades-and-specs
,frontalAreaM2,2.146,https://ecomodder.com/wiki/Vehicle_Coefficient_of_Drag_List
,gliderKg,1085,https://www.toyota-europe.com/new-cars/yaris/grades-and-specs
,vehCgM,0.53,
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.56,https://www.toyota-europe.com/new-cars/yaris/grades-and-specs
,cargoKg,136,
,vehOverrideKg,1670,
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,2000,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,325.62,36 L * 0.75 kg/L * 12.06 kWh/kg
,fuelStorKwhPerKg,12.06,
,maxFuelConvKw,68,https://www.toyota-europe.com/new-cars/yaris/grades-and-specs
,fcPwrOutPerc,"[0, 0.005, 0.015, 0.04, 0.06, 0.10, 0.14, 0.20, 0.40, 0.60, 0.80, 1.00]",
,fcEffMap,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",
,fcEffType,Atkinson,https://fleetworld.co.uk/all-new-toyota-yaris-brings-latest-gen-hybrid-tech/
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,61.3,
,fuelConvKwPerKg,2.13,
,minFcTimeOn,30.3,
,idleFcKw,3.75,1.96
Motor,maxMotorKw,59,https://www.toyota-europe.com/new-cars/yaris/grades-and-specs
,mcPwrOutPerc,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]",
,mcEffMap,"[0.83, 0.85, 0.87, 0.89, 0.90, 0.91, 0.93, 0.94, 0.94, 0.93, 0.92]",
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS / Battery,maxEssKw,1000,Sufficiently high value so as to not impact calculation
,maxEssKwh,0.764,177.6 V * 4.3 Ah
,essKgPerKwh,8.9,
,essBaseKg,75.8,
,essRoundTripEff,0.97,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0.4,
,maxSoc,0.8,
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.01,
,wheelRadiusM,0.311,https://www.1010tires.com/tools/tire-size-calculator/185-65r15
,wheelCoefOfFric,0.7,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,0.9,
,chgEff,0.86,
,auxKw,0.5,
,transKg,114.9,
,transEff,0.97,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,9.7,https://www.toyota-europe.com/new-cars/yaris/grades-and-specs
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
